Name,State,Country,Address,Latitude,Longitude,Google Map Link,Domestic/International,Type
Indira Gandhi International Airport,Delhi,India,New Delhi,28.5561437,77.0999623,https://www.google.com/maps/place/?q=place_id:ChIJiS0q_IUbDTkRne1DLBh2874,International,Airport
Safdarjung Airport,Delhi,India,"metro station, Sri Aurobindo Marg, near Jorbagh, Safdarjung Airport Area, Satya Sadan, New Delhi",28.5834828,77.211126,https://www.google.com/maps/place/?q=place_id:ChIJSyHDeIXiDDkR91IVpEksj-8,Domestic,Airport
Hindon Airport,Uttar Pradesh,India,"Sikanderpur Rd, Sahibabad, Ghaziabad",28.7049655,77.3423036,https://www.google.com/maps/place/?q=place_id:ChIJBZDiIkj7DDkR6mzEEelAwkU,Domestic,Airport
IGI Airport Terminal-3,Delhi,India,Delhi,28.555325,77.085746,https://www.google.com/maps/place/?q=place_id:ChIJR-1ZJJobDTkRMqS6R1Bccgs,Domestic,Airport
I.G.I. Airport,Delhi,India,"Indira Gandhi Int'l Airport, Terminal 2, हवाईअड्डा, Delhi",28.55709,77.08684,https://www.google.com/maps/place/?q=place_id:ChIJbxcLt5sbDTkRuGdjnljI60g,Domestic,Airport
Jewar International Airport,Uttar Pradesh,India,"5JF6+73H, Banwari Bas",28.173928,77.611341,https://www.google.com/maps/place/?q=place_id:ChIJbXq6PAC1DDkRYwUphmN9oZA,International,Airport
Indigo Terminal 1 IGI Airport,Delhi,India,New Delhi,28.5653,77.122381,https://www.google.com/maps/place/?q=place_id:ChIJfUsXAWEcDTkR6JUAThRIkEs,Domestic,Airport
I.G.I. Airport Terminal 2,Delhi,India,Delhi,28.557303,77.091134,https://www.google.com/maps/place/?q=place_id:ChIJYUOYLJsbDTkRkB0Vwqbl8A8,Domestic,Airport
Landing Point,Delhi,India,"H44M+FQP, Shankar Vihar, New Delhi",28.5562097,77.1344551,https://www.google.com/maps/place/?q=place_id:ChIJD08NHEUcDTkRi_utWvHspAA,Domestic,Airport
Domestic Airport,Delhi,India,"Sport View, Delhi Cantonment, New Delhi",28.566655,77.123812,https://www.google.com/maps/place/?q=place_id:ChIJsZHAQ2AcDTkRTpJdFNBtg4o,Domestic,Airport
